publishedAt,title,body,url,source,description
2025-07-09T21:23:19Z,,A campanha da Petrobras estrelada pela atriz Camila Pitanga intitulada “Transição energética justa pra você” gerou críticas nas redes sociais e de organizações ambientais. A atriz aparece na peça pub… [+7580 chars],https://capitalreset.uol.com.br/transicao-energetica/petrobras-camila-pitanga/,Uol.com.br,"Transmitida em horário nobre da Globo, propaganda diz que a estatal é “líder na transição energética justa"" em meio a críticas pela expansão da exploração de petróleo na Foz do Amazonas A campanha da Petrobras com Pitanga gerou críticas de organizações ambien…"
2025-07-09T20:55:07Z,Nvidia pode alcançar US$ 5 trilhões após se tornar empresa mais valiosa da história,"Recuo de blue chips de peso, como Petrobras, e de algumas instituições financeiras, atuou como um fator adicional negativo sobre o desempenho da principal referência acionária local",https://valor.globo.com/empresas/noticia/2025/07/09/nvidia-pode-alcanar-us-5-trilhes-aps-se-tornar-empresa-mais-valiosa-da-histria.ghtml,Globo,"Após alcançar marca impressionante de U$ 4 trilhões, a rainha do mercado de inteligência artificial e sua ação podem ter mais espaço para crescer"
2025-07-09T20:46:50Z,"Com Trump, dólar sobe 1% e vai para R$ 5,50 e Ibovespa recua mais de 1%","ASSINE VEJA NEGÓCIOSCom Trump, dólar sobe 1% e vai para R$ 5,50 e Ibovespa recua mais de 1%
Por Redação
 9 jul 2025, 17h46 
O presidente dos Estados Unidos, Donald Trump. 14/04/2025 (Win McNamee/G… [+2164 chars]",https://veja.abril.com.br/economia/com-trump-dolar-sobe-1-e-vai-para-r-550-e-ibovespa-recua-mais-de-1/,Abril.com.br,"Presidente dos EUA afirma que Brasil não está ""sendo bom"" com seu país e anunciou 50% de tarifas sobre produtos brasileiros"
2025-07-10T20:24:58Z,Ibovespa fecha com queda contida após tarifas dos EUA ao Brasil,"Depois de cair até os 136.014 pontos, na mínima do dia, o Ibovespa devolveu parte das perdas durante a manhã e encerrou em queda de 0,54%, aos 136.743 pontos. Na máxima intradiária, o índice chegou a… [+1000 chars]",https://valor.globo.com/financas/noticia/2025/07/10/ibovespa-fecha-em-queda-contida-apos-tarifas-dos-eua.ghtml,Globo,Alta das ações da Vale limita perdas enquanto papéis da Embraer têm forte baixa
2025-07-10T16:12:35Z,Trump turbina campanha de Lula,"ASSINE VEJA NEGÓCIOS
Trump turbina campanha de Lula
A ironia é manifesta: o líder da direita mundial valida, na prática, os fundamentos econômicos da esquerda brasileira
Por Murillo Aragão
 10 ju… [+2418 chars]",https://veja.abril.com.br/coluna/murillo-de-aragao/trump-turbina-campanha-de-lula/,Abril.com.br,"A ironia é manifesta: o líder da direita mundial valida, na prática, os fundamentos econômicos da esquerda brasileira"
2025-07-10T15:39:10Z,"PRIO prejudicada, Braskem beneficiada? Como as tarifas de Trump afetam setor na B3","A tarifa de 50% imposta pelos Estados Unidos sobre produtos brasileiros, na quarta-feira (9), têm gerado discussões entre analistas e bancos sobre possíveis efeitos nas empresas do setor de petróleo … [+3291 chars]",https://www.infomoney.com.br/mercados/prio-prejudicada-braskem-beneficiada-como-as-tarifas-de-trump-afetam-setor-na-b3/,InfoMoney,"Analistas veem um impacto relativamente limitado para o setor, mas com algumas empresas mais expostas
The post PRIO prejudicada, Braskem beneficiada? Como as tarifas de Trump afetam setor na B3 appeared first on InfoMoney."
2025-07-10T15:30:46Z,Petróleo bruto é o principal produto exportado para os EUA. Setor reage,"ASSINE VEJA NEGÓCIOSUnidade de processamento e produção de gás e petróleo FPSO Marechal Duque de Caxias da Petrobras (Petrobras/Divulgação)
Continua após publicidade
A decisão do presidente dos Est… [+1550 chars]",https://veja.abril.com.br/economia/petroleo-bruto-e-o-principal-produto-exportado-para-os-eua-setor-reage/,Abril.com.br,"Em nota, o Instituto Brasileiro de Petróleo e Gás (IBP), um dos principais  porta-vozes do setor, afirmou ver a medida com “preocupação"""
2025-07-10T14:45:18Z,Tarifas de 50% de Trump pressionam o dólar e derrubam ações de exportadoras,"ASSINE VEJA NEGÓCIOSTarifas de 50% de Trump pressionam o dólar e derrubam ações de exportadoras
Por Ana Paula Ribeiro
 Atualizado em 10 jul 2025, 11h48 - Publicado em 10 jul 2025, 11h45 
Embarcaçã… [+4064 chars]",https://veja.abril.com.br/economia/a-reacao-tarifa-de-50-de-trump-pressiona-o-dolar-e-derruba-exportadoras/,Abril.com.br,"Depreciação dos ativos brasileiros perdeu forças; analistas recomendam cautela, mas veem oportunidades em exportadoras"
2025-07-11T22:12:14Z,Filho do ex-presidente da Imperatriz sofre atentado a tiros no RJ,"Vinicius Drummond, filho de Luizinho Drummond, ex-presidente da Imperatriz Leopoldinense, sofreu um atentado a tiros no Rio de Janeiro e precisou ser hospitalizado nesta sexta-feira (11/7).
Vinicius… [+1285 chars]",https://www.metropoles.com/celebridades/filho-do-ex-presidente-da-imperatriz-sofre-atentado-a-tiros-no-rj,Metropoles.com,Vinicius Drummond trafegava na Barra da Tijuca quando o carro em que ele estava foi alvejado por diversos disparos de arma de fogo
2025-07-11T21:01:24Z,Ibovespa recua com Localiza entre maiores quedas e MRV&Co sobe; veja destaques,"O Ibovespa fechou em queda nesta sexta-feira, ampliando a correção negativa no mês, com Localiza entre as maiores quedas, enquanto MRV&amp;Co descolou do viés de baixa na bolsa paulista após estimati… [+4224 chars]",https://www.infomoney.com.br/mercados/ibovespa-recua-com-localiza-entre-maiores-quedas-e-mrvco-sobe-veja-destaques/,InfoMoney,"Índice de referência do mercado acionário brasileiro, o Ibovespa caiu 0,41%, a 136.187,31 pontos
The post Ibovespa recua com Localiza entre maiores quedas e MRV&Co sobe; veja destaques appeared first on InfoMoney."
2025-07-11T21:00:23Z,Petrobras confirma eleição de nova diretora-executiva de Transição Energética,"A Petrobras (PETR3; PETR4) confirmou nesta sexta-feira, 11, via Comissão de Valores Mobiliários (CVM), que seu conselho de administração elegeu Angélica Laureano como diretora-executiva de Transição … [+1021 chars]",https://www.infomoney.com.br/business/petrobras-confirma-eleicao-de-nova-diretora-executiva-de-transicao-energetica/,InfoMoney,"Angélica Laureano possui 45 anos de experiência, incluindo 37 anos de trabalho na Petrobras, sendo 21 anos em posições gerenciais
The post Petrobras confirma eleição de nova diretora-executiva de Transição Energética appeared first on InfoMoney."
2025-07-11T20:29:40Z,"Quem é Vinicius Drumond, contraventor alvo de tentativa de assassinato no Rio","Inverno: Revista em casa por 8,98/semana
 Por Redação
 11 jul 2025, 17h29 
Vinicius Drumond.  (Reprodução./.)
Continua após publicidade
Na manhã desta sexta-feira, 11, o contraventor e ex vice-p… [+2694 chars]",https://veja.abril.com.br/brasil/quem-e-vinicius-drumond-contraventor-alvo-de-tentativa-de-assassinato-no-rio/,Abril.com.br,"Ex vice-presidente da Imperatriz Leopoldinense tem nome citado em investigações da Polícia Civil por lavagem de dinheiro, agiotagem e corrupção"
2025-07-11T20:27:55Z,Ibovespa tem 5º dia de perdas e acumula pior queda semanal desde dezembro de 2022,"A escalada da política tarifária do presidente americano, Donald Trump, contra importantes parceiros comerciais penalizou ativos de risco ao redor do globo nesta sexta-feira. Em linha com o desempenh… [+1267 chars]",https://valor.globo.com/financas/noticia/2025/07/11/ibovespa-tem-5o-dia-de-perdas-e-acumula-pior-queda-semanal-desde-dezembro-de-2022.ghtml,Globo,"As incertezas em relação aos desdobramentos da política comercial dos EUA podem ter potencializado uma realização de lucros e um ajuste de posições na bolsa, especialmente após um primeiro semestre forte"
2025-07-12T23:19:56Z,Vinícius Drumond: quem é o bicheiro que sobreviveu a 30 tiros no RJ,"Vinícius Drummond e o carro usado no ataque Fotomontagem: Reprodução e Raoni Alves/g1 Rio
Na manhã da última sexta-feira (11), um atentado a tiros mobilizou a Barra da Tijuca, na Zona Oeste do Rio. … [+3197 chars]",https://www.diariodocentrodomundo.com.br/vinicius-drumond-quem-e-o-bicheiro-que-sobreviveu-a-30-tiros-no-rj/,Diariodocentrodomundo.com.br,"Na manhã da última sexta-feira (11), um atentado a tiros mobilizou a Barra da Tijuca, na Zona Oeste do Rio. O empresário Vinicius Drumond, herdeiro do bicheiro Luiz Pacheco Drumond, o “Luizinho Drumond”, foi alvo de uma emboscada na movimentada Avenida das Am…"
2025-07-12T14:55:22Z,"Alvo de atentado no Rio integra a 'Santíssima Trindade', novo comando do jogo do bicho","ResumoO contraventor Vinicius Pereira Drumond, membro da chamada ""Santíssima Trindade"" no jogo do bicho no Rio de Janeiro, sobreviveu a uma tentativa de assassinato na Barra da Tijuca, em meio a disp… [+3988 chars]","https://www.terra.com.br/noticias/brasil/cidades/alvo-de-atentado-no-rj-integra-a-santissima-trindade-novo-comando-do-jogo-do-bicho,7e90363fc0f1f8305c2e953ac714a2c823pcyso1.html",Terra.com.br,"Tentativa de assassinato do contraventor Vinicius Drumond expõe racha na ""Santíssima Trindade"", nova liderança do jogo do bicho no RJ. Investigações apontam disputas internas e conexões com crimes recentes. Entenda os detalhes desse caso que abala a cúpula da…"
2025-07-12T13:31:29Z,Temporada de pinguins-de-magalhães começa no Litoral Norte de SP,"Neste ano, os primeiros registros foram feitos pelas equipes de campo do Projeto de Monitoramento de Praias da Bacia de Santos (PMP-BS), executado pelo Instituto Argonauta. 
Ao todo, 47 pinguins juv… [+4906 chars]",https://g1.globo.com/sp/campinas-regiao/terra-da-gente/noticia/2025/07/12/temporada-de-pinguins-de-magalhaes-comeca-no-litoral-norte-de-sp.ghtml,Globo,"Instituto Argonauta já registrou quase 50 encalhes em poucos dias. Especialista cita fatores que explicam aparecimento de juvenis debilitados nas praias. Técnicos resgatam pinguim-de-magalhães encalhado em Picinguaba, no Litoral Norte de SP
O inverno chegou e…"
2025-07-12T12:03:48Z,Saiba como o bicheiro Vinicius Drumond sobreviveu a um atentado no RJ,"O bicheiro Vinicius Pereira Drumond sofreu tentativa de assassinato. Foto: reprodução
O contraventor Vinicius Drumond, filho do falecido bicheiro Luizinho Drumond, sobreviveu a uma tentativa de assa… [+3031 chars]",https://www.diariodocentrodomundo.com.br/saiba-como-o-bicheiro-vinicius-drumond-sobreviveu-a-um-atentado-no-rj/,Diariodocentrodomundo.com.br,"O contraventor Vinicius Drumond, filho do falecido bicheiro Luizinho Drumond, sobreviveu a uma tentativa de assassinato na manhã da última sexta-feira (11) na Avenida das Américas, na Barra da Tijuca, Zona Oeste do Rio de Janeiro. O ataque ocorreu quando crim…"
2025-07-12T05:00:49Z,Revide do Brasil a tarifaço de Trump pode afetar setores da economia,O governo do presidente Luiz Inácio Lula da Silva (PT) afirmou que irá buscar todas as medidas possíveis para evitar a aplicação da sobretaxa de Trump aos produtos brasileiros. Caso não consiga rever… [+6919 chars],https://www.metropoles.com/brasil/revide-do-brasil-a-tarifaco-de-trump-pode-afetar-setores-da-economia,Metropoles.com,Especialistas indicam que uma retaliação contra os atos de Trump poderia gerar prejuízos para setores produtivos da economia brasileira
2025-07-13T18:58:02Z,Petrobras (PETR4) tem nova diretora de Transição Energética e Sustentabilidade,"A engenheira Angélica Garcia Cobas Laureano é a nova diretora executiva de Transição Energética e Sustentabilidade da Petrobras. Eleita pelo Conselho de Administração da estatal, a diretoria da compa… [+1670 chars]",https://www.infomoney.com.br/mercados/petrobras-petr4-tem-nova-diretora-de-transicao-energetica-e-sustentabilidade/,InfoMoney,"Diretoria da companhia passa a ter cinco mulheres; é a primeira vez na história que a alta administração da companhia tem mais mulheres do que homens
The post Petrobras (PETR4) tem nova diretora de Transição Energética e Sustentabilidade appeared first on Inf…"
2025-07-13T13:16:27Z,Briga de milhões: como a Globo tenta se livrar da TV de Collor em Alagoas,"Inverno: Revista em casa por 8,98/semana (./Reprodução)
Continua após publicidade
A principal empresa da família de Fernando Collor de Mello, condenado a oito anos e dez meses de prisão por corrupç… [+3371 chars]",https://veja.abril.com.br/politica/briga-de-milhoes-como-a-globo-tenta-se-livrar-da-tv-de-collor-em-alagoas/,Abril.com.br,"Depois de anos de briga, decisão recente do STJ vai permitir que tribunal analise argumento da emissora fluminense"
2025-07-13T13:11:00Z,"Com stress, ele largou a TI e foi fazer trade: Tinha calafrio quando o celular tocava","Conteúdo XP
Antes de se dedicar ao mercado, Nicholas Kawasaki trabalhou em multinacionais da área de tecnologia da informação. Chegou um momento que quando o celular tocava me dava calafrio. Estava … [+3103 chars]",https://www.infomoney.com.br/mercados/de-ti-ao-day-trade-nicholas-kawasaki-conta-como-virou-trader-full-time/,InfoMoney,"Kawasaki opera no mercado financeiro de forma simples
The post Com stress, ele largou a TI e foi fazer trade: Tinha calafrio quando o celular tocava appeared first on InfoMoney."
2025-07-13T10:06:37Z,Petrobras e outras 3 empresas da América Latina acusadas de se 'beneficiar do genocídio' em Gaza por relatora da ONU,"Crédito, Reuters
Legenda da foto, O Estado brasileiro é sócio majoritário da Petrobras, que aparece na lista das empresas que se 'beneficiam do genocídio' na Faixa de Gaza; empresa nega conclusão do… [+9739 chars]",https://www.bbc.com/portuguese/articles/c8d65mgn6glo,BBC News,"Segundo relatório d Francesca Albanese, a Petrobras e outras empresas latino-americanas continuam exportando produtos e serviços que ajudam Israel a manter a ocupação de territórios palestinos e a guerra na Faixa de Gaza; Petrobras nega conclusão do relatório"
2025-07-14T23:28:10Z,Petrobras destina R$ 30 milhões para Theatro Municipal do Rio de Janeiro via Lei Rouanet,"RIO - A Petrobras e o Theatro Municipal do Rio de Janeiro assinaram nesta segunda-feira, 14, a renovação de contrato de patrocínio, no valor de R$ 30 milhões, via mecanismo da Lei Rouanet (nº 8.313, … [+1849 chars]","https://www.terra.com.br/economia/petrobras-destina-r-30-milhoes-para-theatro-municipal-do-rio-de-janeiro-via-lei-rouanet,fe405c9368729ce849c1e86a8c951c65gx9orlos.html",Terra.com.br,"Renovação do contrato prevê mais de 200 apresentações, entre balés, óperas, concertos sinfônicos e atividades educativas, além das manutenções"
2025-07-14T21:46:11Z,Prêmio Jabuti Acadêmico divulga semifinalistas da 2ª edição; veja lista completa,A Câmara Brasileira do Livro (CBL) acaba de revelar os semifinalistas da segunda edição doPrêmio Jabuti Acadêmico. A premiação literária foi criada em 2024 para reconhecer obras brasileiras de excelê… [+44068 chars],"https://www.terra.com.br/diversao/premio-jabuti-academico-divulga-semifinalistas-da-2-edicao-veja-lista-completa,55ab7ff18f47703cd49764bc5d73249e1y18b1io.html",Terra.com.br,"A premiação foi criada em 2024 para reconhecer obras de excelência das áreas científicas, técnicas e profissionais"
2025-07-14T21:13:59Z,"Ibovespa emenda 6ª perda, maior sequência em mais de 1 ano, e cai 0,65% na sessão","O Ibovespa emendou a sexta sessão no campo negativo e, no intradia, foi ao menor nível desde 9 de junho, abaixo dos 135 mil pontos. Mesmo considerando que a série desfavorável começa do patamar mais … [+2707 chars]",https://www.infomoney.com.br/mercados/ibovespa-emenda-6a-perda-maior-sequencia-em-mais-de-1-ano-e-perde-065-na-sessao/,InfoMoney,"Mesmo considerando que a série desfavorável começa do patamar mais alto já atingido pelo índice, a 141 mil pontos, a sequência de recuos já é a mais longa desde o intervalo entre 28 de maio e 5 de junho de 2024
The post Ibovespa emenda 6ª perda, maior sequênc…"
2025-07-14T20:27:47Z,Ibovespa recua em meio a escalada de tarifas de Trump e fecha em 135 mil pontos,"ASSINE VEJA NEGÓCIOSIbovespa (Cris Faga/NurPhoto/Getty Images)
Continua após publicidade
O Ibovespa, principal índice do mercado financeiro brasileiro, encerrou esta segunda-feira, 14, registrando … [+2642 chars]",https://veja.abril.com.br/economia/ibovespa-recua-em-meio-a-escalada-de-tarifas-de-trump-e-fecha-em-135-mil-pontos/,Abril.com.br,Investidores avaliam pressão tarifária e IBC-Br abaixo das expectativas
